lat(deg),lon(deg),TinJan,TinFeb,TinMar,TinApr,TinMay,TinJun,TinJul,TinAug,TinSep,TinOct,TinNov,TinDec
-90,-180,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-180,-10,-20,-33,-37,-37,-38,-40,-39,-38,-28,-18,-10
-70,-180,-1,-5,-11,-17,-19,-20,-22,-22,-20,-15,-8,-2
-60,-180,8,8,8,7,5,4,4,4,4,5,5,7
-50,-180,11,11,10,9,8,6,6,6,7,8,9,11
-40,-180,19,19,17,15,13,10,10,10,12,14,15,17
-30,-180,21,22,21,19,18,16,15,15,15,16,18,20
-20,-180,27,27,27,26,25,24,23,23,24,24,26,26
-10,-180,28,28,28,29,28,28,28,28,28,28,28,28
0,-180,28,28,28,28,28,28,28,28,29,29,29,28
10,-180,28,28,28,28,28,28,28,28,28,28,28,28
20,-180,20,20,20,21,23,25,27,27,27,25,23,22
30,-180,20,20,20,21,23,25,26,27,27,25,23,21
40,-180,17,17,17,18,19,22,24,24,24,22,20,18
50,-180,1,1,1,3,5,7,9,11,9,6,3,1
60,-180,-20,-22,-19,-13,-2,6,11,10,4,-5,-13,-19
70,-180,-22,-23,-22,-16,-5,1,4,4,0,-6,-13,-20
80,-180,-22,-24,-23,-16,-6,1,4,3,0,-6,-14,-20
90,-180,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-170,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-170,-10,-20,-33,-37,-37,-38,-40,-40,-38,-28,-18,-10
-70,-170,-1,-5,-12,-18,-20,-21,-23,-23,-21,-16,-7,-1
-60,-170,5,4,3,1,-1,-2,-3,-2,-2,-1,1,4
-50,-170,17,17,16,14,12,10,9,9,11,12,14,16
-40,-170,19,19,17,15,13,10,10,10,12,14,15,17
-30,-170,24,24,24,22,21,20,19,18,19,20,21,23
-20,-170,27,27,27,26,25,24,23,23,24,24,25,26
-10,-170,27,27,27,27,27,27,26,26,27,27,27,27
0,-170,28,28,28,28,28,28,28,28,28,28,28,28
10,-170,24,24,24,25,26,26,27,27,27,26,25,24
20,-170,21,21,22,23,24,25,26,27,26,26,24,22
30,-170,20,19,20,21,23,25,26,27,26,25,23,21
40,-170,1,1,2,3,5,7,10,11,9,7,4,2
50,-170,0,0,1,2,4,6,8,10,9,6,3,1
60,-170,-11,-10,-9,-5,1,7,10,10,8,2,-4,-9
70,-170,-19,-21,-21,-14,-3,3,7,7,3,-3,-11,-18
80,-170,-23,-24,-23,-17,-6,1,3,3,0,-7,-14,-21
90,-170,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-160,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-160,-10,-20,-34,-37,-37,-38,-40,-40,-38,-28,-18,-10
-70,-160,-1,-5,-12,-18,-20,-21,-23,-23,-21,-16,-7,-1
-60,-160,-1,-5,-11,-17,-19,-20,-22,-22,-20,-15,-8,-2
-50,-160,17,17,16,14,12,10,10,10,11,13,14,16
-40,-160,21,21,20,18,16,14,13,13,15,16,17,19
-30,-160,26,27,27,26,24,23,22,22,23,23,25,25
-20,-160,26,27,27,26,25,23,23,23,23,24,25,25
-10,-160,27,27,27,27,26,25,25,25,25,25,26,27
0,-160,27,27,28,28,28,27,27,27,27,27,28,27
10,-160,24,24,24,25,25,26,26,27,27,26,25,24
20,-160,23,23,23,24,25,26,26,27,27,26,25,23
30,-160,22,22,23,24,25,26,26,27,26,26,24,23
40,-160,-1,-1,-1,1,4,7,10,11,9,5,2,0
50,-160,-2,-2,-2,1,4,8,10,11,9,5,1,-2
60,-160,-12,-11,-9,-3,5,10,13,12,8,0,-6,-11
70,-160,-22,-24,-23,-15,-4,4,8,7,2,-5,-14,-20
80,-160,-26,-28,-26,-19,-7,2,5,3,-2,-11,-19,-25
90,-160,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-150,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-150,-13,-22,-35,-38,-38,-39,-40,-40,-39,-29,-20,-13
-70,-150,-2,-6,-11,-16,-18,-19,-21,-22,-19,-15,-8,-2
-60,-150,-2,-6,-11,-16,-18,-19,-21,-22,-19,-15,-8,-2
-50,-150,23,23,23,21,19,18,17,17,17,18,19,21
-40,-150,24,24,24,22,21,19,19,18,18,19,21,22
-30,-150,24,24,24,22,21,19,19,18,18,19,21,22
-20,-150,27,27,28,27,26,25,25,25,25,26,27,27
-10,-150,28,28,28,28,28,27,27,26,27,27,28,28
0,-150,27,27,27,27,27,27,27,27,27,27,27,27
10,-150,22,22,23,23,24,25,25,26,25,25,24,23
20,-150,22,22,22,23,24,25,25,25,25,25,24,23
30,-150,22,22,22,22,22,23,23,24,24,24,23,22
40,-150,3,3,3,4,6,9,11,11,10,7,5,3
50,-150,-1,0,0,3,7,10,12,13,10,5,2,-1
60,-150,-6,-4,-2,3,8,12,14,13,10,4,-2,-5
70,-150,-26,-27,-25,-16,-4,4,7,6,1,-8,-18,-24
80,-150,-30,-30,-28,-19,-7,2,6,4,-3,-13,-22,-28
