Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t)
National Defence,FY 2005-06,facilities,1,Natural gas,5807777.17,288870.88
National Defence,FY 2005-06,facilities,1,Liquified petroleum gas,48244.37,2943.07
National Defence,FY 2005-06,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1305193.88,95389.11
National Defence,FY 2005-06,facilities,1,Aviation fuels,386973.38,26322.46
National Defence,FY 2005-06,facilities,2,Electricity,3533821.46,320839.25
National Defence,FY 2005-06,facilities,2,District energy,54566,4390.26
National Defence,FY 2005-06,fleets,1,Liquified petroleum gas,2969.24,179.72
National Defence,FY 2005-06,fleets,1,Gasoline,373573.34,25168.32
National Defence,FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",247997.75,17739.61
National Defence,FY 2005-06,fleets,1,Fuels with renewable content,11079.66,696.5
National Defence,FY 2010-11,facilities,1,Natural gas,6117251.17,304263.69
National Defence,FY 2010-11,facilities,1,Liquified petroleum gas,41090.94,2506.69
National Defence,FY 2010-11,facilities,1,Gasoline,0.52,0.03
National Defence,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1286326.15,93698.86
National Defence,FY 2010-11,facilities,1,Aviation fuels,296126.88,20142.96
National Defence,FY 2010-11,facilities,2,Electricity,3669229.17,293815.5
National Defence,FY 2010-11,facilities,2,District energy,47393.22,3915.47
National Defence,FY 2010-11,fleets,1,Natural gas,3.23E-03,1.79E-04
National Defence,FY 2010-11,fleets,1,Liquified petroleum gas,18.9,1.14
National Defence,FY 2010-11,fleets,1,Gasoline,208471.34,13360.2
National Defence,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",295206.16,21466.08
National Defence,FY 2010-11,fleets,1,Fuels with renewable content,199445.53,12532.55
National Defence,FY 2011-12,facilities,1,Natural gas,5642097.8,280630.21
National Defence,FY 2011-12,facilities,1,Liquified petroleum gas,48201.97,2940.49
National Defence,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1313792.08,95654.86
National Defence,FY 2011-12,facilities,1,Aviation fuels,379031.6,25782.25
National Defence,FY 2011-12,facilities,2,Electricity,3535686.82,255545.96
National Defence,FY 2011-12,facilities,2,District energy,10934,895.38
National Defence,FY 2011-12,fleets,1,Natural gas,6.73E-03,3.72E-04
National Defence,FY 2011-12,fleets,1,Liquified petroleum gas,2613.53,158.19
National Defence,FY 2011-12,fleets,1,Gasoline,206585.01,13239.46
National Defence,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",288245.88,20889.27
National Defence,FY 2011-12,fleets,1,Aviation fuels,1047.68,73.02
National Defence,FY 2011-12,fleets,1,Fuels with renewable content,98551.97,6184.59
National Defence,FY 2012-13,facilities,1,Natural gas,5624426.07,279751.24
National Defence,FY 2012-13,facilities,1,Liquified petroleum gas,36539.64,2229.04
National Defence,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1585920.28,114043.15
National Defence,FY 2012-13,facilities,1,Aviation fuels,80274.83,5460.4
National Defence,FY 2012-13,facilities,2,Electricity,3480170.88,252697.17
National Defence,FY 2012-13,facilities,2,District energy,1508,111.64
National Defence,FY 2012-13,fleets,1,Natural gas,0.01,8.06E-04
National Defence,FY 2012-13,fleets,1,Liquified petroleum gas,2311.96,139.94
National Defence,FY 2012-13,fleets,1,Gasoline,191689.89,12284.8
National Defence,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",264188.48,19177.8
National Defence,FY 2012-13,fleets,1,Fuels with renewable content,84503.02,5294.9
National Defence,FY 2013-14,facilities,1,Natural gas,6292621.74,312986.38
National Defence,FY 2013-14,facilities,1,Liquified petroleum gas,46169.67,2816.51
National Defence,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1261592.4,90523.85
National Defence,FY 2013-14,facilities,1,Aviation fuels,374019.37,25441.31
National Defence,FY 2013-14,facilities,2,Electricity,3347267.77,244934.32
National Defence,FY 2013-14,facilities,2,District energy,1311,87.4
National Defence,FY 2013-14,fleets,1,Liquified petroleum gas,1748.79,105.85
National Defence,FY 2013-14,fleets,1,Gasoline,153663.23,9847.89
National Defence,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",255331.13,18629.1
National Defence,FY 2013-14,fleets,1,Fuels with renewable content,79566.28,4983.38
National Defence,FY 2014-15,facilities,1,Natural gas,6453502.2,320988.36
National Defence,FY 2014-15,facilities,1,Liquified petroleum gas,34929.73,2130.83
National Defence,FY 2014-15,facilities,1,Gasoline,7,0.46
National Defence,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1160705.56,83155.36
National Defence,FY 2014-15,facilities,1,Aviation fuels,334366.61,22744.08
National Defence,FY 2014-15,facilities,2,Electricity,3299585.68,218559.44
National Defence,FY 2014-15,facilities,2,District energy,1456.36,95.64
National Defence,FY 2014-15,fleets,1,Liquified petroleum gas,1185.59,71.76
National Defence,FY 2014-15,fleets,1,Gasoline,149598.64,9587.25
National Defence,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",251687.58,18409.07
National Defence,FY 2014-15,fleets,1,Fuels with renewable content,84662.48,5304.14
National Defence,FY 2015-16,facilities,1,Natural gas,5995492.64,298207.59
National Defence,FY 2015-16,facilities,1,Liquified petroleum gas,52605.99,3209.15
National Defence,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",762874.1,54329.04
National Defence,FY 2015-16,facilities,1,Aviation fuels,302489.56,20575.76
National Defence,FY 2015-16,facilities,2,Electricity,3314284.64,213049.58
National Defence,FY 2015-16,facilities,2,District energy,35307,2930.3
National Defence,FY 2015-16,fleets,1,Liquified petroleum gas,1243.63,75.27
National Defence,FY 2015-16,fleets,1,Gasoline,145150.14,9302.2
National Defence,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",240853.11,17562.68
National Defence,FY 2015-16,fleets,1,Fuels with renewable content,77406.83,4860.4
National Defence,FY 2016-17,facilities,1,Natural gas,6160052.77,306392.58
National Defence,FY 2016-17,facilities,1,Liquified petroleum gas,57717.61,3520.97
National Defence,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",779304.98,55495.71
National Defence,FY 2016-17,facilities,1,Aviation fuels,295304.37,20087.01
National Defence,FY 2016-17,facilities,2,Electricity,3356466.29,214539.45
National Defence,FY 2016-17,facilities,2,District energy,40048,3323.78
National Defence,FY 2016-17,fleets,1,Liquified petroleum gas,804.83,48.71
National Defence,FY 2016-17,fleets,1,Gasoline,144622.2,9268.38
National Defence,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",239558.62,17494.89
National Defence,FY 2016-17,fleets,1,Fuels with renewable content,70769.15,4447.57
Public Services and Procurement Canada,FY 2005-06,facilities,1,Natural gas,1060379.95,52741.84
Public Services and Procurement Canada,FY 2005-06,facilities,1,Liquified petroleum gas,6996.88,426.83
Public Services and Procurement Canada,FY 2005-06,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",112994.65,7965.02
